generated_at,ticker,recommendation,signal_score,confidence,headline_count,confident_headline_count,top_positive_keywords,top_negative_keywords,source_breakdown,reasoning
2026-03-09T03:31:51.826443+00:00,TSLA,BUY,0.9796,0.9796,27,26,"tsla, record, gs, earnings, reports","tsla, profit, faces, investigation, amid","{'fnspid': 15, 'yahoo_finance': 7, 'nyt': 5}","15 of 26 confident headlines classified positive, 8 negative, 3 neutral (overall sentiment: positive). Highest-credibility source: nyt (weight=0.8). Keyword 'tsla' detected (historically negative avg CAR=-1.06%). Signal partially dampened by 8 negative headline(s) countering 15 positive one(s). Composite signal score: +0.980."
2026-03-09T03:31:52.547201+00:00,META,BUY,0.9511,0.9571,31,28,"meta, stock, record, announces, programme","meta, amid, faces, investigation, record","{'fnspid': 14, 'guardian': 12, 'yahoo_finance': 3, 'economic_times': 1, 'nyt': 1}","16 of 28 confident headlines classified positive, 10 negative, 2 neutral (overall sentiment: positive). Highest-credibility source: nyt (weight=0.8). Keyword 'meta' detected (historically positive avg CAR=+1.22%). Signal partially dampened by 10 negative headline(s) countering 16 positive one(s). Composite signal score: +0.951."
2026-03-09T03:31:51.181510+00:00,GS,HOLD,0.298,0.9649,31,26,"gs, goldman sachs, sachs, goldman, earnings","gs, faces, investigation, amid, stock","{'fnspid': 15, 'yahoo_finance': 10, 'nyt': 5, 'china_daily': 1}","11 of 26 confident headlines classified positive, 12 negative, 3 neutral (overall sentiment: negative). Highest-credibility source: nyt (weight=0.8). Keyword 'dividend' detected (historically negative avg CAR=-0.77%). Signal partially dampened by 12 negative headline(s) countering 11 positive one(s). Composite signal score: +0.298."
2026-03-09T03:31:50.057803+00:00,MSFT,HOLD,0.1201,0.9725,27,26,"msft, stock, announces, programme, gs","msft, fall, faces, investigation, amid","{'fnspid': 15, 'yahoo_finance': 6, 'nyt': 4, 'economic_times': 1, 'guardian': 1}","12 of 26 confident headlines classified positive, 11 negative, 3 neutral (overall sentiment: positive). Highest-credibility source: nyt (weight=0.8). Keyword 'meta' detected (historically positive avg CAR=+1.22%). Signal partially dampened by 11 negative headline(s) countering 12 positive one(s). Composite signal score: +0.120."
2026-03-09T03:31:51.477062+00:00,BAC,HOLD,0.0752,0.9587,30,26,"bac, stock, announces, programme, gs","bac, stock, dividend, amid, faces","{'fnspid': 15, 'yahoo_finance': 9, 'nyt': 6}","10 of 26 confident headlines classified positive, 11 negative, 5 neutral (overall sentiment: negative). Highest-credibility source: nyt (weight=0.8). Keyword 'meta' detected (historically positive avg CAR=+1.22%). Signal partially dampened by 11 negative headline(s) countering 10 positive one(s). Composite signal score: +0.075."
2026-03-09T03:31:49.763891+00:00,AAPL,HOLD,0.0478,0.9408,35,31,"aapl, stock, gs, reports, earnings","aapl, stock, faces, investigation, amid","{'fnspid': 14, 'yahoo_finance': 10, 'nyt': 10, 'newsapi': 1}","10 of 31 confident headlines classified positive, 14 negative, 7 neutral (overall sentiment: negative). Highest-credibility source: nyt (weight=0.8). Keyword 'meta' detected (historically positive avg CAR=+1.22%). Signal partially dampened by 14 negative headline(s) countering 10 positive one(s). Composite signal score: +0.048."
2026-03-09T03:31:50.558079+00:00,AMZN,HOLD,-0.0944,0.9582,29,28,"amzn, stock, gs, earnings, reports","amzn, shares, faces, investigation, amid","{'fnspid': 15, 'nyt': 7, 'yahoo_finance': 4, 'economic_times': 2, 'guardian': 1}","11 of 28 confident headlines classified positive, 11 negative, 6 neutral (overall sentiment: mixed). Highest-credibility source: nyt (weight=0.8). Keyword 'meta' detected (historically positive avg CAR=+1.22%). Signal partially dampened by 11 negative headline(s) countering 11 positive one(s). Composite signal score: -0.094."
2026-03-09T03:31:50.284477+00:00,GOOGL,HOLD,-0.182,0.9764,23,22,"googl, announces, programme, gs, reports","googl, fall, amid, faces, investigation","{'fnspid': 14, 'yahoo_finance': 5, 'nyt': 3, 'economic_times': 1}","9 of 22 confident headlines classified positive, 11 negative, 2 neutral (overall sentiment: negative). Highest-credibility source: nyt (weight=0.8). Keyword 'meta' detected (historically positive avg CAR=+1.22%). Signal partially dampened by 11 negative headline(s) countering 9 positive one(s). Composite signal score: -0.182."
2026-03-09T03:31:52.171349+00:00,NVDA,SELL,-0.5318,0.9571,24,23,"nvda, stock, announces, programme, gs","nvda, faces, investigation, amid, stock","{'fnspid': 14, 'yahoo_finance': 8, 'economic_times': 1, 'nyt': 1}","9 of 23 confident headlines classified positive, 9 negative, 5 neutral (overall sentiment: mixed). Highest-credibility source: nyt (weight=0.8). Keyword 'nvda' detected (historically negative avg CAR=-0.78%). Signal partially dampened by 9 negative headline(s) countering 9 positive one(s). Composite signal score: -0.532."
2026-03-09T03:31:50.868075+00:00,JPM,SELL,-0.3628,0.98,26,26,"jpm, announces, programme, reports, stock","jpm, amid, faces, investigation, fall","{'fnspid': 14, 'yahoo_finance': 8, 'nyt': 3, 'guardian': 1}","10 of 26 confident headlines classified positive, 11 negative, 5 neutral (overall sentiment: negative). Highest-credibility source: nyt (weight=0.8). Keyword 'dividend' detected (historically negative avg CAR=-0.77%). Signal partially dampened by 11 negative headline(s) countering 10 positive one(s). Composite signal score: -0.363."
